 12   wind speed [m/s]          pitch [deg]           rot. speed [rpm]           aero power [kw]        aero thrust [kn]
3.000000000000000000e+00 3.860336537776698940e+00 4.999999999999999112e+00 4.123507730108651259e+01 2.050195614605001992e+02
5.000000000000000000e+00 2.830577402464096171e+00 4.999999999999999112e+00 1.509115927809639288e+03 5.544715675273220086e+02
7.000000000000000000e+00 1.422222319830449833e-01 5.044835632274860870e+00 4.439602891967606411e+03 1.064762478074222145e+03
9.000000000000000000e+00 0.000000000000000000e+00 6.394093256835521544e+00 9.522595444257860436e+03 1.758556941358853919e+03
1.100000000000000000e+01 2.636639465131969562e+00 7.499245177770055726e+00 1.566476642503477888e+04 2.090267888789950121e+03
1.300000000000000000e+01 8.198505966127470401e+00 7.499245177770055726e+00 1.566481561491443972e+04 1.499973095592860091e+03
1.500000000000000000e+01 1.148067938321978332e+01 7.499245177770055726e+00 1.566478422736181528e+04 1.252180399761408125e+03
1.700000000000000000e+01 1.419216501579569112e+01 7.499245177770055726e+00 1.566481648701731865e+04 1.091789493501580637e+03
1.900000000000000000e+01 1.659677947685742083e+01 7.499245177770055726e+00 1.566478245500037883e+04 9.773083956591092374e+02
2.100000000000000000e+01 1.880239891675655173e+01 7.499245177770055726e+00 1.566477306479470644e+04 8.911663655966139004e+02
2.300000000000000000e+01 2.086383080905898879e+01 7.499245177770055726e+00 1.566476855230691581e+04 8.241975381296700789e+02
2.500000000000000000e+01 2.281257524400675862e+01 7.499245177770055726e+00 1.566476585517690546e+04 7.710385655963331146e+02
