1 HAWC_AE data
1 30 r,c,t/c prin.set
  0.000000000000000e+00   5.206651301913677e+00   1.000000000000000e+02 1
  4.045810261610607e+00   5.235183737060100e+00   9.791776804721584e+01 1
  8.091623388401239e+00   5.340827139063660e+00   8.626944349999638e+01 1
  1.213743486145856e+01   5.489205332137024e+00   6.881847705228358e+01 1
  1.618323230711195e+01   5.642864018489198e+00   5.392980530829319e+01 1
  2.022908307095730e+01   5.768518234186270e+00   4.479922373751756e+01 1
  2.427489115849842e+01   5.797531338380177e+00   3.991303232045691e+01 1
  2.832070387559907e+01   5.720744018487457e+00   3.621524024524069e+01 1
  3.236651650453093e+01   5.564643941348180e+00   3.452394316575698e+01 1
  3.641232914475454e+01   5.368177775307556e+00   3.331372354896951e+01 1
  4.045814172584456e+01   5.169224344529496e+00   3.239191818723085e+01 1
  4.450395182695297e+01   4.992534203095656e+00   3.159550245626204e+01 1
  4.854978342933271e+01   4.809776850810920e+00   3.079261102526695e+01 1
  5.259558823662499e+01   4.616989982704349e+00   2.980651751944906e+01 1
  5.664139557333086e+01   4.419992409471452e+00   2.872832056160201e+01 1
  6.068720398580527e+01   4.222386805429913e+00   2.763844338855699e+01 1
  6.473299956923694e+01   4.024616788801939e+00   2.655638366705380e+01 1
  6.877884004583296e+01   3.823973772620633e+00   2.551435514251124e+01 1
  7.282465154947396e+01   3.620774111071086e+00   2.454463592212559e+01 1
  7.687045994171272e+01   3.415697468110698e+00   2.365207424649880e+01 1
  8.091626965212345e+01   3.208934242604413e+00   2.280895176603621e+01 1
  8.496207848084956e+01   2.999929426262154e+00   2.201972639048910e+01 1
  8.900789802567334e+01   2.788662146791249e+00   2.132657734647556e+01 1
  9.305370875195827e+01   2.576018840052843e+00   2.072489077061702e+01 1
  9.709952102586382e+01   2.362678395681263e+00   2.015788517691031e+01 1
  1.011453346883728e+02   2.149104699200182e+00   1.962338831920189e+01 1
  1.051911474400512e+02   1.934742583678388e+00   1.913179182850796e+01 1
  1.092369599913816e+02   1.719578940041540e+00   1.869053175174308e+01 1
  1.132827681493574e+02   1.503553275484400e+00   1.831345417149060e+01 1
  1.173285855387053e+02   1.286767760221898e+00   1.800000000000000e+01 1
