#1 Tower made by automatic script on 02-Jun-2023
r	m	x_cg	y_cg	ri_x	ri_y	x_sh	y_sh	E	G	I_x	I_y	I_p	k_x	k_y	A	pitch	x_e	y_e
$1 20 Flexible
129.386	4.0748E+03	0.0000E+00	0.0000E+00	2.2896E+00	2.2896E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	2.5595E+00	2.5595E+00	5.1191E+00	5.0554E-01	5.0554E-01	4.8824E-01	0.0000E+00	0.0000E+00	0.0000E+00
r	m	x_cg	y_cg	ri_x	ri_y	x_sh	y_sh	E	G	I_x	I_y	I_p	k_x	k_y	A	pitch	x_e	y_e
$3 20 Rigid
0.000	1.0315E+04	0.0000E+00	0.0000E+00	3.5216E+00	3.5216E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	1.5327E+01	1.5327E+01	3.0654E+01	5.0592E-01	5.0592E-01	1.2359E+00	0.0000E+00	0.0000E+00	0.0000E+00
13.000	1.0315E+04	0.0000E+00	0.0000E+00	3.5216E+00	3.5216E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	1.5327E+01	1.5327E+01	3.0654E+01	5.0592E-01	5.0592E-01	1.2359E+00	0.0000E+00	0.0000E+00	0.0000E+00
13.001	9.5238E+03	0.0000E+00	0.0000E+00	3.5227E+00	3.5227E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	1.4160E+01	1.4160E+01	2.8321E+01	5.0547E-01	5.0547E-01	1.1411E+00	0.0000E+00	0.0000E+00	0.0000E+00
26.000	9.4531E+03	0.0000E+00	0.0000E+00	3.4965E+00	3.4965E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	1.3847E+01	1.3847E+01	2.7695E+01	5.0551E-01	5.0551E-01	1.1326E+00	0.0000E+00	0.0000E+00	0.0000E+00
26.001	8.7613E+03	0.0000E+00	0.0000E+00	3.4974E+00	3.4974E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	1.2841E+01	1.2841E+01	2.5682E+01	5.0510E-01	5.0510E-01	1.0498E+00	0.0000E+00	0.0000E+00	0.0000E+00
39.000	8.3335E+03	0.0000E+00	0.0000E+00	3.3267E+00	3.3267E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	1.1050E+01	1.1050E+01	2.2101E+01	5.0537E-01	5.0537E-01	9.9851E-01	0.0000E+00	0.0000E+00	0.0000E+00
39.001	7.9433E+03	0.0000E+00	0.0000E+00	3.3272E+00	3.3272E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	1.0536E+01	1.0536E+01	2.1073E+01	5.0511E-01	5.0511E-01	9.5175E-01	0.0000E+00	0.0000E+00	0.0000E+00
52.000	7.4285E+03	0.0000E+00	0.0000E+00	3.1116E+00	3.1116E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	8.6175E+00	8.6175E+00	1.7235E+01	5.0547E-01	5.0547E-01	8.9006E-01	0.0000E+00	0.0000E+00	0.0000E+00
52.001	7.0872E+03	0.0000E+00	0.0000E+00	3.1121E+00	3.1121E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	8.2244E+00	8.2244E+00	1.6449E+01	5.0521E-01	5.0521E-01	8.4917E-01	0.0000E+00	0.0000E+00	0.0000E+00
65.000	6.5381E+03	0.0000E+00	0.0000E+00	2.8710E+00	2.8710E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	6.4570E+00	6.4570E+00	1.2914E+01	5.0565E-01	5.0565E-01	7.8338E-01	0.0000E+00	0.0000E+00	0.0000E+00
