                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.250000       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -1.16632865296421e-02
 9.80217654328904e-01 -6.92509062408520e-03
 9.60188302276238e-01 -3.47720169982583e-03
 9.40008342543793e-01 -1.62141042692285e-03
 9.19798890257740e-01 -9.84799370916085e-04
 8.99636132540208e-01 -1.42658986873376e-03
 8.79578621787504e-01 -2.66830892914488e-03
 8.59675619332631e-01 -4.79121439832610e-03
 8.39968547108665e-01 -7.71816230647970e-03
 8.20492534390534e-01 -1.13881558100171e-02
 8.01270717529288e-01 -1.57070253661491e-02
 7.82312429580785e-01 -2.05764974766374e-02
 7.63622370079569e-01 -2.59089460778903e-02
 7.45211498988559e-01 -3.16600753977219e-02
 7.27074298261763e-01 -3.77443546888712e-02
 7.09199899054353e-01 -4.40762674869390e-02
 6.91575157567226e-01 -5.05758330830263e-02
 6.74188963501973e-01 -5.71775559506585e-02
 6.57030352285490e-01 -6.38218095061332e-02
 6.40084081491944e-01 -7.04420266390534e-02
 6.23339557323550e-01 -7.69862248432273e-02
 6.06787128885386e-01 -8.34062094890199e-02
 5.90419282702000e-01 -8.96609914654253e-02
 5.74231528259348e-01 -9.57173463476151e-02
 5.58224657673924e-01 -1.01554962969757e-01
 5.42397362574000e-01 -1.07149396358289e-01
 5.26743502195508e-01 -1.12465677563980e-01
 5.11271756957334e-01 -1.17506597410144e-01
 4.95978715201395e-01 -1.22243265855024e-01
 4.80871678879433e-01 -1.26676107420163e-01
 4.65954449488553e-01 -1.30799259244738e-01
 4.51233469825178e-01 -1.34611231534369e-01
 4.36712467656939e-01 -1.38107692620167e-01
 4.22398369061556e-01 -1.41293244614854e-01
 4.08294288176469e-01 -1.44162751378535e-01
 3.94406752726309e-01 -1.46725919933101e-01
 3.80736171500234e-01 -1.48966261238432e-01
 3.67292537958174e-01 -1.50893958601297e-01
 3.54079354080868e-01 -1.52268705525896e-01
 3.41103242622663e-01 -1.53273487231421e-01
 3.28367282658943e-01 -1.54141563125759e-01
 3.15877949034209e-01 -1.54937341760375e-01
 3.03637400951257e-01 -1.55686457459697e-01
 2.91650550198012e-01 -1.56429877321322e-01
 2.79918790796599e-01 -1.57179907120785e-01
 2.68446147873612e-01 -1.56739683023583e-01
 2.57233740220227e-01 -1.56011359117290e-01
 2.46282991616062e-01 -1.55125449986524e-01
 2.35594531416695e-01 -1.54241324576378e-01
 2.25169533799376e-01 -1.53163038757884e-01
 2.15008095252323e-01 -1.51891892336257e-01
 2.05109846498368e-01 -1.50438453204258e-01
 1.95473890481048e-01 -1.48822464974549e-01
 1.86100360366917e-01 -1.47041029510206e-01
 1.76987001335500e-01 -1.45109132028452e-01
 1.68132562074583e-01 -1.43033173670747e-01
 1.59534672643874e-01 -1.40828940594189e-01
 1.51193068694253e-01 -1.38493321151030e-01
 1.43102997909428e-01 -1.36045119545306e-01
 1.35263146872037e-01 -1.33489680733670e-01
 1.27675151630859e-01 -1.30819264958480e-01
 1.20333287993772e-01 -1.28051371517557e-01
 1.13235918397337e-01 -1.25191829210217e-01
 1.06382904128971e-01 -1.22240963338892e-01
 9.97703666914516e-02 -1.19209286399118e-01
 9.33935145564022e-02 -1.16107818161238e-01
 8.72539181480834e-02 -1.12931593320882e-01
 8.13464745357984e-02 -1.09692982285081e-01
 7.56715678410008e-02 -1.06391152485122e-01
 7.02274155475578e-02 -1.03030890600004e-01
 6.50144477416426e-02 -9.96140722588892e-02
 6.00284060500332e-02 -9.61481102145142e-02
 5.52685822446613e-02 -9.26371675060462e-02
 5.07320831730570e-02 -8.90854938966851e-02
 4.64158187161950e-02 -8.55005001887829e-02
 4.23141374159713e-02 -8.18925964414078e-02
 3.84244349043443e-02 -7.82661301270864e-02
 3.47439335278356e-02 -7.46226507569578e-02
 3.12721181471367e-02 -7.09673076413688e-02
 2.80107663787650e-02 -6.73030804258061e-02
 2.49516126236822e-02 -6.36358247511843e-02
 2.20967893222459e-02 -5.99680287272591e-02
 1.94423550928764e-02 -5.63066718745816e-02
 1.69854303472378e-02 -5.26541425272748e-02
 1.47151058422611e-02 -4.90249539685495e-02
 1.26204707975494e-02 -4.54247856872051e-02
 1.06844600893296e-02 -4.18610018263988e-02
 8.92572101090407e-03 -3.83331838313589e-02
 7.34344739742936e-03 -3.48377906513379e-02
 5.96185450933529e-03 -3.13777109356842e-02
 4.74970502747944e-03 -2.79556186151972e-02
 3.72553821482971e-03 -2.45846939956754e-02
 2.85254518581349e-03 -2.12656749283929e-02
 2.14467948559800e-03 -1.80104156369561e-02
 1.55686984724083e-03 -1.48192629888907e-02
 1.05161621044168e-03 -1.17073749587869e-02
 6.04684511656445e-04 -8.67219194455909e-03
 3.17558002523636e-04 -5.71139385374425e-03
 1.09603574592077e-04 -2.82105853016805e-03
 0.00000000000000e+00  0.00000000000000e+00
 1.04133011985657e-04  2.80019482937380e-03
 3.20781607272749e-04  5.68802423881039e-03
 6.05657737636481e-04  8.64551523414676e-03
 1.03870062611886e-03  1.16757579775280e-02
 1.52703821225340e-03  1.47829066247568e-02
 2.07847263859631e-03  1.79696618092175e-02
 2.72067462006770e-03  2.12291506321576e-02
 3.47581881150172e-03  2.45639349350494e-02
 4.36891005289184e-03  2.79567882805352e-02
 5.44986562530461e-03  3.14038253234937e-02
 6.70348821074795e-03  3.48912891988831e-02
 8.16274104018753e-03  3.84149982531134e-02
 9.78757092688314e-03  4.19766255589644e-02
 1.15925674614671e-02  4.55764884179028e-02
 1.35454214587330e-02  4.92182138067018e-02
 1.56687814103139e-02  5.28938871659017e-02
 1.79744853728911e-02  5.65977547461250e-02
 2.04636613116212e-02  6.03221416287039e-02
 2.31434227364193e-02  6.40638256008176e-02
 2.60166457038436e-02  6.78152964333696e-02
 2.90904828893974e-02  7.15680560412713e-02
 3.23698515584093e-02  7.53188617635797e-02
 3.58529422967718e-02  7.90666583306784e-02
 3.95464478258127e-02  8.27975294463227e-02
 4.34544270081752e-02  8.65087444742925e-02
 4.75784514054465e-02  9.01969128874868e-02
 5.19270483026970e-02  9.38478481313829e-02
 5.65001723185461e-02  9.74572838674210e-02
 6.13020842590936e-02  1.01017128514263e-01
 6.63367625866232e-02  1.04518945311318e-01
 7.16063333205297e-02  1.07956377589968e-01
 7.71110326167617e-02  1.11325799041508e-01
 8.28521147021733e-02  1.14620114747163e-01
 8.88311835048391e-02  1.17833395381170e-01
 9.50529260517316e-02  1.20951768424039e-01
 1.01516831231572e-01  1.23972264574893e-01
 1.08221020051123e-01  1.26898323279596e-01
 1.15168468439125e-01  1.29717653739515e-01
 1.22360494981534e-01  1.32425491537332e-01
 1.29798459367319e-01  1.35015077134280e-01
 1.37486115750144e-01  1.37466709047487e-01
 1.45420267474120e-01  1.39789161819584e-01
 1.53601878054672e-01  1.41976563003563e-01
 1.62031988928493e-01  1.44020373970386e-01
 1.70713030109411e-01  1.45909914869864e-01
 1.79642243946684e-01  1.47653806853251e-01
 1.88821818611783e-01  1.49237224554427e-01
 1.98251583262402e-01  1.50671159018877e-01
 2.07932417011279e-01  1.51941904654116e-01
 2.17864104029836e-01  1.53058588083530e-01
 2.28047793741785e-01  1.53996899815121e-01
 2.38483221681258e-01  1.54778972526587e-01
 2.49171299834269e-01  1.55378972885210e-01
 2.60111419236226e-01  1.55961702005729e-01
 2.71304764225112e-01  1.55815126187117e-01
 2.82750754179475e-01  1.55353269262063e-01
 2.94448827679890e-01  1.54897002790587e-01
 3.06398756362994e-01  1.54427745277158e-01
 3.18599496489687e-01  1.53910327183813e-01
 3.31049496710481e-01  1.53310934064898e-01
 3.43747917939376e-01  1.52613186174334e-01
 3.56693331415869e-01  1.51791317103658e-01
 3.69884979931269e-01  1.50827218545616e-01
 3.83320140088490e-01  1.49679120059038e-01
 3.96998543160869e-01  1.48356344913779e-01
 4.10917417268813e-01  1.46574702279958e-01
 4.25074213588026e-01  1.44585799260896e-01
 4.39468758018075e-01  1.42425706690933e-01
 4.54099191912527e-01  1.40096936199139e-01
 4.68963893395827e-01  1.37603642301520e-01
 4.84059017671957e-01  1.34943731355758e-01
 4.99381428649330e-01  1.32119947861434e-01
 5.14929487968173e-01  1.29140227434892e-01
 5.30699520004976e-01  1.26009865620594e-01
 5.46687610562902e-01  1.22730744424277e-01
 5.62887978434513e-01  1.19299537728892e-01
 5.79299936312816e-01  1.15735359991450e-01
 5.95914619547052e-01  1.12026818450527e-01
 6.12730709236635e-01  1.08193835180151e-01
 6.29743115305241e-01  1.04243942733819e-01
 6.46943985330232e-01  1.00172688420283e-01
 6.64328941897631e-01  9.59920179986369e-02
 6.81891154735795e-01  9.17066524220465e-02
 6.99621625137081e-01  8.73138166385594e-02
 7.17516439128198e-01  8.28326480971229e-02
 7.35566698100536e-01  7.82640172512667e-02
 7.53765329156961e-01  7.36179318289522e-02
 7.72104984951822e-01  6.89049292301415e-02
 7.90576506135902e-01  6.41298775103396e-02
 8.09171494303623e-01  5.93024873868261e-02
 8.27882121516277e-01  5.44356425302492e-02
