                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.250001       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -8.99297851914681e-04
 9.74055707406337e-01 -2.18231197182105e-03
 9.48096572495894e-01 -3.41411061023963e-03
 9.22204366620501e-01 -4.58505219979969e-03
 8.96385418602361e-01 -5.55615520947839e-03
 8.70784494659331e-01 -8.15264924489613e-03
 8.45523117960116e-01 -1.23054777399751e-02
 8.20676111012135e-01 -1.77935083100358e-02
 7.96267986893872e-01 -2.43099942558164e-02
 7.72314891143734e-01 -3.16678871778385e-02
 7.48833674572419e-01 -3.97295363499704e-02
 7.25825830235589e-01 -4.83662827826924e-02
 7.03256671218029e-01 -5.73781505188297e-02
 6.81095426578380e-01 -6.66103338641311e-02
 6.59298471626911e-01 -7.58999750445917e-02
 6.37833402197147e-01 -8.51225466486399e-02
 6.16671797608682e-01 -9.41687092729788e-02
 5.95792346957448e-01 -1.02947665179585e-01
 5.75180968477634e-01 -1.11385420267809e-01
 5.54837061277546e-01 -1.19439330511854e-01
 5.34756561215672e-01 -1.27056288535923e-01
 5.14942200407531e-01 -1.34203734250236e-01
 4.95402749417922e-01 -1.40864012202764e-01
 4.76149525856166e-01 -1.47015107922731e-01
 4.57192324730041e-01 -1.52637755069115e-01
 4.38539786560989e-01 -1.57707720736193e-01
 4.20197474441086e-01 -1.62182517177215e-01
 4.02183143271294e-01 -1.66064691581993e-01
 3.84518470699951e-01 -1.69380487283873e-01
 3.67221773583870e-01 -1.72150267344489e-01
 3.50309713073458e-01 -1.74396789330015e-01
 3.33796501653124e-01 -1.76137604022864e-01
 3.17695089865643e-01 -1.77393967414418e-01
 3.02017119167419e-01 -1.78192862363533e-01
 2.86772156259859e-01 -1.78540833912021e-01
 2.71968053037811e-01 -1.78502930517518e-01
 2.57611664906648e-01 -1.78041106704089e-01
 2.43708711307942e-01 -1.77200610060995e-01
 2.30262631492946e-01 -1.76012682591138e-01
 2.17275672927509e-01 -1.74498711834820e-01
 2.04748180347900e-01 -1.72683938022583e-01
 1.92678659012168e-01 -1.70597051815785e-01
 1.81065642441903e-01 -1.68254563041228e-01
 1.69905122003014e-01 -1.65680458753517e-01
 1.59191985974834e-01 -1.62896324607437e-01
 1.48927509348006e-01 -1.59930355022854e-01
 1.39104717038827e-01 -1.56783789116353e-01
 1.29717544889760e-01 -1.53474733078920e-01
 1.20761451388408e-01 -1.50015449448059e-01
 1.12226351615633e-01 -1.46429780019040e-01
 1.04104531839088e-01 -1.42734268333693e-01
 9.63924570254760e-02 -1.38933675297854e-01
 8.90832222170918e-02 -1.35040623018826e-01
 8.21721651846349e-02 -1.31063175468970e-01
